question,label,correct_answer,option_2,option_3,option_4,option_5,
384.The term “bandwidth” refers to:,,Data rate of a transmission medium,Amount of data stored,Delay experienced in a network,,Error rate of a signal,
385.What is the hexadecimal equivalent of binary 11010110?,,D6,9A,C4,F0,A8,
"386.In ER diagrams, a weak entity must have:",,Partial key,Composite attribute,Multi-valued key,Redundant data,Transitive dependences,
387.Which of the following is an example of volatile memory?,,Cache,Flash memory,Hard disk,ROM,Blu-ray,
388.The OS component responsible for memory management is the:,,The OS component responsible for memory management is the:,Device driver,Shell,Scheduler,Compiler,
"389.In networking, a collision domain is reduced by using:",,Bridge,Repeater,Bridge,Modem,Coaxial cable,
390.A binary search can be performed only on:,,Sorted arrays,Sorted arrays,Linked lists,Graphs,Hash tables,
391.The “fetch–decode–execute” cycle is controlled by the:,,CU,ALU,RAM,SSD,NIC,
392.SMTP is mainly used for:,,Sending emails,File transfer,Assigning IP addresses,Routing packets,Securing networks,
393.Which of the following is NOT a function of an operating system?,,Virus scanning,Process management,I/O control,Resource allocation,File management,
394.The base of hexadecimal number system is:,,16,2,8,10,12,
395.Which of the following measures network latency?,,ms,Mbps,Watt,GHz,Hertz,
396.A compiler converts:,,Source code ? Machine code,Machine code ? Source code,Bytes ? Bits,Errors ? Warnings,High-level code ? Flowchart,
397.Which is the MOST efficient searching method?,,Hashing,Linear search,Binary search,BFS,DFS,
398.Which device operates at OSI Layer 3?,,Router,Hub,Switch,Repeater,Bridge,
399.Which of the following is NOT an example of system software?,,Spreadsheet,Operating system,Device driver,Utility software,Compiler,
400.The complement of Boolean expression (A + B)’ is:,,A’B’,A + B’,AB,A’B,A’ + B’,
401.Which of the following is a characteristic of fiber-optic cable?,,Uses light for transmission,Susceptible to EMI,Uses light for transmission,Cheap installation,High signal loss,
402.What is the main advantage of virtual memory?,,Supports larger logical memory than physical memory,Faster execution,Removes fragmentation,Increases CPU speed,Eliminates page faults,
403.Which SQL clause is used for grouping data?,,GROUP BY,ORDER BY,WHERE,HAVING,JOIN,
404.An interrupt is:,,A signal that temporarily halts CPU operations,A type of cache memory,A process stored in RAM,A device that increases bandwidth,A debug tool,
405.The primary purpose of indexes in a database is to:,,Speed up searching,Increase redundancy,Reduce file size,Block unauthorized access,Remove anomalies,
406.Decimal 255 in hexadecimal is:,,FF,1A,2F,EA,BB,
407.Which of the following is not an input device?,,Plotter,Scanner,Barcode reader,,Mouse,
408.“Thrashing” occurs when:,,System spends more time paging than executing,CPU overheats,Too many interrupts occur,Hard disk becomes full,Deadlock occurs,
"409.In SDLC, the stage where user needs are collected is:",,Requirements analysis,Design,Implementation,Requirements analysis,Testing,
410.The time taken to position the read/write head on a disk is called:,,Seek time,Latency,Access delay,Burst time,Transfer time,
411.Which logic gate is known as the “universal gate”?,,NAND,AND,OR,XOR,NOR,
412.Which of the following is NOT a characteristic of a von Neumann architecture?,,Data and instruction stored separately,Shared memory for data and instructions,Sequential instruction execution,Use of a control unit,Use of ALU,
413.The main function of the BIOS is to:,,Perform POST,Display graphics,Manage network settings,Store user accounts,Provide security from malware,
414.What is the binary equivalent of decimal 25?,,11001,10101,10011,11010,11100,
415.Which of the following is an example of system software?,,Compiler,Antivirus,MS Excel,WhatsApp,Photoshop,
416.The OS function that allocates memory to processes is called:,,Memory management,Device management,Swapping,Memory management,Paging,
417.The 7th layer of the OSI model is:,,Application,Transport,Network,Session,Data Link,
418.Which is NOT a characteristic of fiber optic cable?,,High attenuation,Immune to EMI,Uses light signals,Difficult to tap,High bandwidth,
419.Which of the following is NOT a relational database?,,MongoDB,MySQL,Oracle,SQL Server,PostgreSQL,
420.Which technique is used to detect errors in data transmission?,,Parity,Multiplexing,Switching,Routing,Encryption,
421.Which protocol is used for secure web browsing?,,HTTPS,HTTP,FTP,SNMP,SMTP,
422.Which of the following best describes the function of an interpreter?,,Translates and executes instructions line by line,Converts entire source code into machine code before execution,Converts machine code back into source code,Optimizes compiled binary files,Compresses source code for efficient execution,
"423.In database normalization, the main purpose of 1NF is to:",,Ensure atomicity of fields,Remove partial dependencies,Ensure atomicity of fields,Guarantee referential integrity,Remove transitive dependencies,
"424.In software engineering, which model stresses user feedback at every stage?",,Prototyping model,Waterfall model,Spiral model,V-model,Big bang model,
425.What does the FAN-IN of a logic gate represent?,,Number of inputs,Number of outputs,Number of gates connected in series,Delay time,Power consumption,
426.Which of the following best describes the purpose of spooling in operating systems?,,To buffer data for devices that cannot accept data at full speed,To convert logical addresses into physical addresses,To convert logical addresses into physical addresses,To execute multiple programs simultaneously,To increase CPU clock speed,
"427.In database normalization, the purpose of 3NF is to remove:",,"In database normalization, the purpose of 3NF is to remove:",Partial dependencies,Multi-valued dependencies,,Repeating groups,Repeating groups
428.Which of the following is NOT a characteristic of fiber-optic communication?,,Signal attenuation is very high,Immune to electromagnetic interference,Difficult to tap for eavesdropping,Uses light as the transmission medium,Extremely high bandwidth,
429.The main purpose of an operating system’s kernel is:,,Manage system calls,Provide device drivers,Handle user authentication,Perform application-level compilation,Control web-based services,
430.The main purpose of ARP (Address Resolution Protocol) is:,,Resolve IP addresses to MAC addresses,Resolve domain names to IP addresses,Ensure reliable packet delivery,Encrypt packets before transmission,,Assign IP addresses dynamically
431.Which protocol is used by email clients to retrieve messages from a mail server with support for folder synchronization?,,IMAP,SMTP,POP3,FTP,SNMP,
432.Which of the following best describes a star network topology?,,All devices connected to a central hub or switch,All devices connected in a circular chain,Devices arranged in a hierarchical tree,Each device connected to exactly two other devices,Each device connected to every other device,
433.Which is a characteristic of primary memory?,,Directly accessible by CPU,Non-volatile,Slower than secondary memory,Cannot be upgraded,Magnetic-based storage,
434.Which component is responsible for translation in a compiler?,,Code generator,Semantic analyzer,Lexical analyzer,Optimizer,Loader,
435.What is the hexadecimal equivalent of binary 11010110??,,D6,A9,B4,C3,F2,
436.Which of the following is NOT a cloud service model?,,TaaS,IaaS,PaaS,SaaS,FaaS,
437.The primary purpose of indexing in a database is to:,,Optimize query performance,Reduce data redundancy,Improve data integrity,Enhance security,Support partitioning,
438.Which of the following is an example of real-time operating system usage?,,Air-traffic control,Word processing,Online banking,Cloud gaming,Social media,
439.Which gate outputs 1 only when both inputs are 1?,,AND,OR,XOR,NOR,NAND,
"440.In object-oriented programming, encapsulation refers to:",,Binding data and methods together,Inheriting properties from another class,Using multiple classes with same name,Converting objects into byte streams,Creating abstract functions,
441.The main purpose of SQL JOIN operation is:,,Combine data from multiple tables,Remove duplicate rows,Compare table schemas,Enforce primary keys,Normalize relations,
442.Which hashing technique handles collisions by linking elements?,,Chaining,Linear probing,Quadratic probing,Double hashing,Rehashing,
443.The fastest cache memory level is:,,L1,L3,L2,Virtual memory,SDRAM,
444.Which of the following is NOT a feature of RDBMS?,,Hyperlinks,Relations,Tuples,Constraints,Attributes,
445.A digital signature primarily provides:,,Integrity,Confidentiality,Availability,Compression,Redundancy,
446.Which of the following algorithms is used for public-key encryption?,,RSA,AES,DES,SHA-256,MD5,
"447.In multithreading, a race condition occurs when:",,Multiple threads access shared data simultaneously,A process is blocked indefinitely,The CPU overheats,DNS servers fail,Virtual memory overflows,
448.Which of the following is a volatile type of memory?,,DRAM,Flash ROM,Hard disk,Blu-ray,SSD,
449.A stack overflow occurs when:,,Recursion exceeds memory limit,Queue becomes full,Hash table collision occurs,CPU cache is corrupted,RAM fails,
450.What is the primary purpose of DHCP?,,Assign IP addresses automatically,Encrypt packets,Authenticate users,Detect network intrusions,Translate domain names,
451.The parity bit is used to detect:,,Single-bit errors,Burst errors,Packet loss,Jitter,Collisions,
452.Which scheduling algorithm can cause starvation?,,SJF,Round Robin,FCFS,FIFO,FCFS with preemption,
453.The MAC address length is:,,48 bits,32 bits,64 bits,128 bits,20 bits,
"454.In RAID 5, parity is:",,Distributed across all disks,Not used,Stored on a dedicated disk,Stored on the OS drive,Written on SSD only,
455.Which of the following is TRUE about the OSI Session Layer?,,"It establishes, manages, and terminates communication sessions",It handles packet routing between networks,It encrypts and decrypts application data,It converts data into electrical signals,It determines the best physical path for data,
"456.In relational databases, which normal form removes partial dependencies?",,2NF,1NF,3NF,BCNF,4NF,
457.What is the purpose of the ARP protocol?,,Resolve IP addresses to MAC addresses,Translate domain names into MAC addresses,Resolve port numbers to IP addresses,Resolve MAC addresses to IP addresses,Translate URLs into IP addresses,
458.Which of the following is NOT a characteristic of Object-Oriented Programming?,,Immutability,Inheritance,Encapsulation,Polymorphism,Abstraction,
459.A CPU pipeline improves system performance mainly by:,,Executing multiple instructions simultaneously,Increasing cache size,Increasing clock cycle time,Reducing instruction set size,Performing memory compaction,
460.Which addressing mode uses a constant value inside the instruction?,,Immediate,Direct,Indirect,Indexed,Register,
461.Which RAID level provides both redundancy and increased read performance using distributed parity?,,RAID 5,RAID 0,RAID 1,RAID 6,RAID 10,
462.The main goal of an intrusion detection system (IDS) is to:,,Detect unauthorized access attempts,Block malicious traffic automatically,Encrypt network packets,Manage user login credentials,Prevent hardware failures,
463.Which of the following is NOT a characteristic of SSDs compared to HDDs?,,Higher chance of mechanical failure,Faster access time,No moving parts,Lower power consumption,Higher cost per GB,
464.Which type of malware encrypts files and demands payment to restore access?,,Ransomware,Worm,Trojan,Adware,Botnet,
465.Which protocol is used for secure remote login?,,SSH,FTP,SMTP,Telnet,POP3,
466.Which of the following is NOT a JavaScript data type?,,Character,Number,Boolean,Object,Undefined,
467.The main purpose of IPv6 was to:,,Increase address space,Increase network speed,Improve encryption,Reduce routing tables,Support wireless networks,
468.A star network topology requires:,,Switch or hub,Ring connection,Mesh configuration,Token passing,Backbone cable,
469.Which operating system concept allows multiple processes to run seemingly at the same time?,,Multitasking,Caching,Virtualization,Spooling,Fragmentation,
470.Which of the following best describes the role of a multiplexer in digital communication?,,Selects one input from many and forwards it to a single output,Converts serial signals to parallel form,Amplifies weak analog signals,Stores binary data temporarily,Performs error correction,
471.Which protocol is responsible for providing reliable data transmission using acknowledgments and retransmissions?,,TCP,UDP,IP,ICMP,ARP,
472.Which Boolean expression represents the XOR operation?,,A'B + AB',AB + A'B',A + B,AB',(A + B)',
473.Which data structure is best suited for implementing recursion?,,Stack,Queue,Linked List,Graph,Hash Table,
474.Which SQL clause is evaluated first in the logical query processing order?,,FROM,WHERE,SELECT,GROUP BY,HAVING,
".In object-oriented programming, which concept allows same method name but different parameter lists?",,Overloading,Inheritance,Encapsulation,Overriding,Polymorphism,
476.Which HTML attribute specifies a unique identifier for an element?,,id,class,name,style,type,
477.The primary purpose of a device driver is to:,,Provide communication between OS and hardware,Optimize CPU scheduling,Control memory allocation,Manage network packets,Encrypt system data,
478.Which of the following is NOT a type of fragmentation in memory management?,,Dynamic,Internal,External,Logical,None of the above,
479.The component responsible for predicting future instruction addresses to reduce pipeline stalls in modern CPUs is called:,,Branch Predictor,Instruction Register,Opcode Decoder,Address Bus Controller,Micro-op Cache,
480.Which of the following best describes the Harvard Architecture?,,Uses separate memory units for data and instructions,Uses a single bus for data and instructions,Stores microcode in RAM,Processes only one instruction per cycle,Uses cache only for instruction fetching,
"481.In a pipelined processor, the hazard that occurs when two instructions require the same memory location at the same time is called:",,Structural hazard,Interrupt hazard,Data hazard,Control hazard,Loop hazard,
482.Which memory management technique splits the address space into fixed-size blocks?,,Paging,Segmentation,Virtual partitioning,Swapping,Dynamic relocation,
483.The term “instruction throughput” in CPU architecture refers to:,,Number of instructions completed per unit time,Maximum number of instructions stored in cache,Size of the instruction register,Instruction size in bytes,Processor’s external clock rate,
"484.In magnetic disks, the time taken for the correct sector to rotate under the read/write head is called:",,Rotational delay,Seek time,Latency time,Access time,Transfer time,
"485.Which of the following buses is responsible for carrying control signals such as READ, WRITE and INTERRUPT?",,Control Bus,Data Bus,Address Bus,Expansion Bus,Front-side Bus,
"486.In virtualization, the software that emulates hardware to allow multiple OSs to run simultaneously is known as:",,Hypervisor,Loader,Emulator,Compiler,Supervisor,
487.The process of breaking down a high-level instruction into simpler internal operations in CPU design is known as:,,Micro-operation sequencing,Branch folding,Instruction decoding,CISC optimization,Instruction pipelining,
488.The main purpose of a pipeline in a modern CPU architecture is to,,execute multiple instructions simultaneously by overlapping stages,increase clock frequency,store pre-fetched instructions,increase word size,reduce bus width,
489.Which of the following best describes the role of the Control Unit in a microprocessor?,,Converts machine instructions into micro-operations,Performs integer arithmetic operations,Stores frequently executed instructions,Executes floating-point operations,Provides a buffer between CPU and I/O devices,
490.The performance of a multi-core processor improves mainly because,,instructions can be executed in true parallelism,each core has a separate BIOS,each core increases cache capacity exponentially,virtual memory is eliminated,system clock frequency doubles automatically,
491.Which memory type is directly accessed by the CPU without using the address bus?,,Level 1 cache,Level 2 cache,Virtual memory,Secondary storage,RAM,
492.A computer program that translates each line of source code into machine code at runtime is known as,,Interpreter,Compiler,Assembler,Loader,Linker,
493.Which of the following is NOT a characteristic of RISC architecture?,,Variable-length instructions,Simple instruction set,Single-cycle instruction execution,Larger number of general-purpose registers,Pipelining support,
"494.In virtual memory management, thrashing occurs when",,the CPU spends most of its time swapping pages,too many processes are in waiting state,page replacement algorithm fails,secondary storage becomes full,RAM becomes defective,
495.The main advantage of spooling in an operating system is,,allowing slow devices to work efficiently with fast systems,simultaneous execution of multiple threads,reducing the need for interrupts,increasing RAM capacity,enabling kernel-level caching,
496.Floating-point numbers are represented using,,IEEE-754 standard,ASCII format,2’s complement,Gray code,Unicode,
"497.In database systems, the purpose of the transaction log is to",,support rollback and recovery,store schema definitions,maintain execution plans,store user credentials,manage database fragmentation,
498.The primary function of the Arithmetic Logic Unit (ALU) is to:,,Execute arithmetic and logical operations,Store data temporarily,Control input/output devices,Manage network communication,Provide long-term storage,
499.The speed of a microprocessor is usually measured in:,,Hertz,Bits per second,Gigabytes,Bytes per second,Volts,
500.The Boolean expression x + x’y simplifies to:,,x,xy,x + y,y,x’y,
501.Which of the following is a volatile memory?,,RAM,Hard Disk,Flash,EPROM,ROM,
502.A microprocessor’s speed is mainly measured in:,,Hertz,Bytes,RPM,Celsius,Kilograms,
503.Cache memory stores:,,Frequently used data,Least used data,Boot instructions,Permanent backups,Operating system,
504.Time sharing is another name for:,,Multi-tasking,Multi-processing,High-performance computing,Batch processing,Cloud computing,
505.Which generation used transistors?,,2nd,1st,3rd,4th,7th,
506.Which of the following is NOT inside the CPU?,,RAM,ALU,Registers,CU,Cache L1,
507.The decimal value of 101101? is:,,45,35,41,47,50,
508.27?? = ? in hexadecimal,,1B,2A,9F,1D,1C,
"509.In Python, which is a valid variable?",,name2,2name,for,user-name,class,
510.Which data type is immutable?,,tuple,list,dict,set,array,
"511.The output of [1,2]*2 is:",,"[1, 2, 1, 2]","[2, 4]",4,Error,"[1,2],[1,2]",
512A functional requirement is:,,Login feature,System speed,User friendliness,Security level,Reliability,
513.A foreign key:,,May be duplicated,Must be unique,Same as primary key,Cannot be NULL,Must be numeric,
514.Normalization mainly reduces:,,Redundancy,Speed,Cost,Columns,Tables,
515.SQL statement to show all columns:,,SELECT * FROM table;,SELECT columns;,SELECT ALL table;,SELECT * FROM table;,READ table;,
516.<ol> is used for:,,Ordered list,Image,Audio,Table,Link,
517.<br> produces:,,New line,Bold text,Paragraph,Heading,Break page,
518.Which tag embeds audio?,,<audio>,<sound>,<music>,<mp3>,<media>,
519.A proxy server:,,Filters requests,Translates domain names,Allocates Ips,Stores emails,Manages databases,
"520.In the OSI model, routing is done at:",,Network,Transport,Session,Application,Data link,
521.Which device breaks collision domains?,,Switch,Bridge,Repeater,Modem,Bridge,
522.SMTP is used for:,,Email transfer,File upload,Streaming,Encryption,Web browsing,
523.Which is NOT an e-business disadvantage?,,High accessibility,Security issues,Quality concerns,Slow delivery,Trust issues,
524.Ubiquitous computing means:,,Computing everywhere,Computing for banks only,Offline computing,Gaming,Cloud only,
525.Batch processing example:,,Monthly salary slip,File download,ATM withdrawal,Monthly salary slip,Video call,
526.Firmware is stored in:,,ROM,RAM,Hard disk,CPU,Cache,
527.Which is required for hosting a website?,,Web server,Router,Search engine,Spreadsheet,Compiler,
528.ISDN provides:,,Digital transmission,Voice only,Analog signals,Slow data only,Satellite only,
529.Which protocol logs in to a remote computer?,,telnet,ping,ftp,tracert,ipconfig,
530.The main purpose of a DFD is to show:,,Data movement,Tables,ER relationships,Hardware,Code,
531.A process in “blocked state” means:,,Waiting for I/O,Running,Terminated,Not loaded,Swapped out,
532.Which is not system software?,,Spreadsheet,OS,Device driver,Compiler,Utility,
"533.In binary, 1 + 1 =",,10,0,11,1,100,
"534.In a DFD, a data store is represented using:",,Open-ended rectangle,Circle,Rectangle,Diamond,Arrow,
"535.In Python, the output of len(""ICT"") is:",,3,2,4,5,Error,
536.The OSI layer that ensures end-to-end delivery is:,,Transport,Physical,Data link,Network,Application,
537.Which of the following is a characteristic of 3G networks?,,Broadband mobile data,Voice only,Very slow internet,Supports only 2 devices,Satellite communication,
538.Von Neumann architecture consists of:,,"CPU, memory, I/O",CPU and monitor,CPU and I/O only,CPU only,Memory only,
539.Optical fibers use:,,Light,Sound,Electric signals,Radio waves,Magnetic signals,
540.Which of the following is NOT a Python loop?,,loop,for,while,nested loop,infinite loop,
541.2MB =,,4096 KB,2048 KB,1024 KB,8192 KB,2000 KB,
542.A fiber optic cable is immune to:,,Electromagnetic interference,Fire,Water,Light,Heat,
543.Which is NOT a software testing method?,,Wiring testing,Unit testing,White box testing,Black box testing,Stress testing,
544.Python list indexing starts from:,,0,1,-1,A,Random,
545.A normalized database has:,,Reduced redundancy,High redundancy,No relationships,No primary keys,Only numeric attributes,
546.HTML forms are defined using:,,<form>,<input>,<type>,<submit>,<section>,
547.Which of the following is a dynamic web technology?,,JavaScript,HTML,CSS,JavaScript,PNG,
548.Which of the following is NOT a valid data type in Python?,,real,tuple,string,integer,list,
549.A modem converts:,,Analog ? Digital,AC ? DC,Binary ? Hex,ext ? Audio,Wi-Fi ? Bluetooth,
550.The HTML tag <hr> refers to:,,Horizontal line,Heading,Hyperlink,Hard rule,Highlighted row,
551.Which of the following is a valid IP address?,,10.0.0.1,256.34.5.2,192.168.1.300,999.10.10.10,1234.10.10.1,
552.Binary 100000 equals decimal:,,32,16,64,48,128,
553.Which of the following is a LAN technology?,,Ethernet,GSM,CDMA,Bluetooth,Satellite,
554.A relational table row is known as:,,Record,Field,Attribute,Entity,Column,
555.CAPTCHA is used for:,,Preventing bots,Making forms,Speeding websites,Data mining,Encryption,
556.Which command shows network configuration?,,ipconfig,ping,tracert,mkdir,ftp,
557.A Python dictionary stores data as:,,Keyword mappings,Indexed values,Sequential data,Numeric keys only,Sorted lists,
558.A protocol is:,,A set of communication rules,Hardware,Website,Software license,Encryption type,
559.Which of the following uses packet switching?,,Internet,Telephone network,Postal system,Television broadcast,Fax,
560.DHCP is used for:,,Assigning IP addresses,,Sending emails,DNS translation,Routing packets,
561.HTML comments are written as:,,<!-- comment -->,// comment,/* comment */,## comment,!! Comment,
562.A Python for loop works with:,,Counters and sequences,Integers only,Conditions,Decisions,Strings only,
563.The decimal number 255 equals hex:,,FF,EE,1F,AB,99,
564.A broadband technology is:,,ADSL,Dial-up,ADSL,Telegraph,Satellite phone,
"565.type(""ICT"") in Python returns:",,,str,char,text,literal,
566.A router operates at OSI layer:,,3,7,1,2,4,
567.A pixel is a unit of:,,Display resolution,Memory,Sound,Processing speed,Storage,
568.Which Boolean law states x + x = x?,,Idempotent,Associative,Commutative,Distributive,Absorption,
"569.In Boolean algebra, x + 1 =",,1,0,x,x’,Undefined,
570.WAN covers:,,A country or world,A room,A city,A country or world,A desk,
571.The purpose of a feasibility study is to determine:,,Project cost and viability,User interface colors,Network cables,Programming language,Database tables,
572.A computer virus is:,,Program that copies itself,Hardware damage,A network cable,System memory,A protocol,
573.Antivirus software is a type of:,,Utility software,System software,Application software,Game software,Device driver,
574.Which of the following is NOT a characteristic of object-oriented programming?,,Authentication,Encapsulation,Polymorphism,Abstraction,Inheritance,
575.A tuple in Python is:,,Immutable,Mutable,Numeric,A function,A list copy,
"576.The output of 3 * ""Hi"" is:",,HiHiHi,3Hi,Hi3,Error,6,
577.A data warehouse stores:,,Historical data,Transaction data,Point-of-sale data,Real-time data,Hardware configurations,
"578.In a database, NULL means:",,No value,0,Empty string,FALSE,Null pointer,
579.A database index improves:,,Query performance,Display quality,Storage capacity,Security,SQL syntax,
580.A NOT gate output is:,,Opposite of input,Always 1,Always 0,Same as input,Undefined,
581.Multithreading allows:,,Multiple tasks inside one process,Many CPUs,One program only,No parallelism,Hardware damage,
582.A router connects:,,Different networks,Computers inside one LAN,USB devices,Only wireless devices,Switches only,
583.DNS converts:,,Domain ? IP,Text ? HTML,IP ? Mac,Email ? Domain,Domain ? File,
584.POP3 is used for:,,Receiving emails,Sending emails,Compressing emails,Encrypting emails,Blocking emails,
585.The default subnet mask for Class C is:,,255.255.255.0,255.0.0.0,255.255.0.0,255.255.255.255,240.0.0.0,
586.A URL contains:,,Protocol + domain + path,Only domain,Only IP,Port only,Username only,
587.A hybrid topology is a combination of:,,Any two or more topologies,Star + Ring,Tree + Star,Ring only,Mesh + Bus,
588.The hexadecimal value of binary 1101 0110 is:,,D6,C5,B2,6D,A7,
589.Software testing performed by users is:,,Acceptance testing,Unit testing,Integration testing,Stress testing,White-box testing,
590.Which programming paradigm does Python support?,,Multiple paradigms,OOP only,Functional only,Procedural only,None,
591.A phishing attack attempts to:,,Steal sensitive information,Destroy hardware,Format hard disks,Block websites,Improve security,
592.Cyber security deals with:,,Protecting digital systems,Hardware only,Software only,People only,Web design,
593.The main purpose of a backup is:,,Recover lost data,Prevent hardware failure,Increase RAM,Speed up CPU,Delete logs,
594.A Python function is defined using:,,def,fun,define,fn,function,
595.A bus topology uses:,,A single communication line,A central hub,A ring connection,Multiple switches,Wireless only,
596.ROM is mainly used to store:,,BIOS,Temporary data,User files,Pictures,Application software,
597.The binary value 11110000? is equal to:,,240,248,225,,,
598.A compiler translates:,,Program entirely,Line by line,SQL queries,Machine code to high-level,Only HTML,
599.The star topology requires a:,,Hub or Switch,Router,Bridge,Repeater,Modem,
600.The full form of URL is:,,Uniform Resource Locator,Universal Routing Link,Unique Resource Locator,Unified Reference List,Uniform Routing Layer,
601.The OS component responsible for memory allocation is:,,Memory manager,File manager,Network manager,Shell,BIOS,
602.Which register stores the address of the next instruction?,,PC,IR,MAR,MDR,AC,
603.Laser printers use:,,Toner,Ink cartridges,Heat to burn images,Light pen,Dot impact,
604.A 16-bit word can represent:,,"65,536 values",1024 values,256 values,"1,000,000 values",65 values,
605.2’s complement of 0101? is:,,1011,101,1010 + 1,1101,1111,
606.Which of the following is a primary key property?,,Must be unique,Can be NULL,Must be multi-valued,Must contain text only,Must be foreign key,
607.A bridge operates at:,,Data link layer,Application layer,Physical layer,Network layer,Transport layer,
608.The Internet is based on:,,TCP/IP,GSM,CDMA,HDMI,SMTP,
609.A bar code reader is an example of:,,Input,Output,Processing,Storage,Memory,
610.Which language is used for web structure?,,HTML,Python,CSS,Java,SQL,
611.GUI stands for:,,Graphical User Interface,General User Interface,Global Utility Integration,Graph Utility Input,Generate User Instruction,
612.A computer network that covers a university campus is:,,MAN,LAN,WAN,PAN,GAN,
613.A device that regenerates and amplifies signals is:,,Repeater,Hub,Switch,Router,Firewall,
614.Encryption converts data into:,,Cipher text,Binary only,Plain text,Images,Audio,
615.Which of the following is volatile memory?,,RAM,ROM,Flash,Hard disk,DVD,
616.The decimal value of binary 10111? is:,,23,25,21,19,17,
617.A firewall protects against:,,Unauthorized access,Data entry errors,Physical theft,Printer problems,Network speed,
618.The unit that performs logical comparison operations is:,,ALU,CU,RAM,ROM,Register,
619.The hexadecimal equivalent of 1010 1100? is:,,AC,AD,BC,A1,C1,
620.A binary search requires data to be:,,Sorted,Randomly sorted,Unsorted,Stored in database,Encoded,
621.The loop that executes at least once is:,,do-while loop,infinite loop,for loop,while loop,recursive loop,
622.The OS kernel manages:,,"RAM, processes, hardware",Internet,Pictures,HTML files,Programs only,
623.CD-ROM is:,,Read only,Write only,Read and write,Magnetic,Solid state,
624.A device driver is a type of:,,System software,Application software,Hardware,System software,BIOS,
625.The purpose of a flowchart is to:,,Show program logic,Write codes,Test software,Create tables,Format text,
626.The decimal equivalent of hexadecimal 2F is:,,47,31,63,29,32,
627.Which of the following is an example of open-source software?,,Linux,MS Office,Adobe Photoshop,Windows,Oracle,
628.The result of 1110? OR 1010? is:,,1111,1010,1110,1100,1000,
629.Which is an impact printer?,,Dot matrix,Inkjet,Laser,Thermal,LED,
630.Which of the following is NOT a characteristic of RAM?,,Permanent,Volatile,Random access,Read/write,Fast,
631.The binary equivalent of decimal 18 is:,,10010,10000,11010,10100,10011,
632.Which of the following uses optical technology?,,CD-ROM,SSD,HDD,Flash drive,RAM,
633.Which device stores the BIOS?,,ROM,RAM,Hard disk,Cache,Flash drive,
634.The communication medium used in Wi-Fi is:,,Radio waves,Optical fiber,Coaxial cable,Infrared,Twisted pair,
635.The purpose of a UPS is to:,,Protect during power failures,Increase CPU speed,Store data permanently,Improve graphics,Encrypt files,
636.A repeater operates at:,,Physical layer,Network layer,Data link layer,Transport layer,Application layer,
637.A backup taken daily and stores only changes since last FULL backup is:,,Differential backup,Physical backup,Full backup,Incremental backup,Logical backup,
638.A 10 Mbps connection speed means:,,10 megabits per second,10 bytes per second,10 megabytes per second,10 kilobytes per second,10 gigabits per second,
639.The storage device with no moving parts is:,,SSD,HDD,CD,DVD,Magnetic tape,
640.The result of 1010 AND 1100 is:,,1000,1110,1100,1010,100,
641.A smartphone is an example of a:,,Microcomputer,Mainframe,Supercomputer,Server,Workstation,
642.The device used to display soft copies is:,,Monitor,Printer,Microphone,Keyboard,Scanner,
643.Which of the following is a system tool?,,Device manager,Wordpad,Calculator,Paint,Notepad,
644.Ping command is used to test:,,Network connectivity,CPU speed,RAM capacity,File security,OS version,
645.The decimal value of hexadecimal A5 is:,,165,155,175,185,195,
646.A system crash is an example of:,,Runtime error,Syntax error,Logical error,Formatting error,Segmentation error,
647.Which of the following detects and corrects errors?,,Parity bit,Bluetooth,Firewall,Switch,Router,
648.A collection of interlinked web pages is called:,,Website,Web browser,URL,Protocol,Web server,
649.Fiber optic cables transmit data using:,,Light,Electrical signals,Magnetic waves,Heat,Radio waves,
650.Which of the following is a valid Python variable name?,,name_1,1name,my-name,my name,my_name,
651.SQL stands for:,,Structured Query Language,Simple Query Language,Standard Queue Language,Server Query Language,Sequential Query Language,
652.The output device producing braille is:,,Braille printer,Dot-matrix printer,Laser printer,Inkjet printer,Thermal printer,
653.The function of a switch is to:,,Forward frames based on MAC addresses,Filter viruses,Assign IP addresses,Convert analog to digital,Test signals,
654.The result of 1101 XOR 1011 is:,,110,1111,0,101,1001,
655.A browser is a type of,,Application software,Operating system,Hardware,Protocol,File format,
656.The component that interprets and executes instructions is:,,Control Unit,RAM,ALU,Register,Bus,
"657.In networking, latency refers to:",,Delay in data transmission,Cable length,Storage size,Frequency,Bandwidth,
658.An email attachment is usually encoded using:,,Base64,ASCII,Unicode,Hexadecimal,Binary,
659.SSL is used to:,,Secure communication,Speed up browsing,Format web pages,Compress data,Assign IP addresses,
660.Which of the following memory types is the fastest?,,Cache,RAM,ROM,Hard disk,Flash,
661.Which device is required to access the Internet using telephone lines?,,Modem,Switch,Router,Hub,Repeater,
662.The term “booting” refers to:,,Starting the computer,Installing OS,Shutting down,Formatting,Copying files,
663.Which of the following is NOT an operating system?,,Python,Linux,Windows,macOS,Android,
664.A device used to capture printed images into digital form is:,,Scanner,Printer,Modem,Projector,Microphone,
665.Hexadecimal value of binary 1111 0101? is:,,F5,E5,D5,C5,FB,
666.The term “debugging” refers to:,,Finding and fixing errors,Writing code,Finding and fixing errors,Installing software,Compiling,
667.A circular linked list is useful for:,,Round-robin scheduling,Sorting,Binary search,File compression,Encryption,
